,b,c,d,e,f,g,h,i,j,k,,
,,,,,,,,,,,,
,1,,"$110,068.20 ",0.11%,2.22%,1.73%,$6.26B,-31.79%,$2.19T,$7.54M,$22.25M,$123.58M
,,BTC,,,,,,,,,,
,2,,"$3,850.35 ",-0.04%,1.07%,-1.36%,$4.50B,-27.37%,$464.71B,-$21.26M,-$31.45M,-$301.58M
,,ETH,,,,,,,,,,
,3,,"$1,132.08 ",0.93%,5.30%,-1.29%,$1.03B,106.71%,$157.45B,$1.73M,$2.16M,$40.69M
,,BNB,,,,,,,,,,
,4,,$2.39 ,-0.28%,0.86%,2.42%,$778.55M,-37.04%,$143.53B,-$3.64M,-$16.66M,-$40.56M
,,XRP,,,,,,,,,,
,5,,$191.42 ,0.36%,6.30%,3.24%,$1.56B,-13.78%,$105.06B,$1.47M,-$4.95M,$24.40M
,,SOL,,,,,,,,,,
,6,,$0.31 ,-0.10%,-2.86%,-0.86%,$124.20M,-28.88%,$29.66B,-$818.78K,-$6.02M,-$23.24M
,,TRX,,,,,,,,,,
,7,,$0.19 ,-0.10%,2.30%,2.96%,$459.37M,-33.80%,$29.49B,$1.40M,-$4.54M,$401.89K
,,DOGE,,,,,,,,,,
,8,,$0.64 ,0.12%,2.80%,-0.80%,$140.49M,-36.71%,$23.02B,$110.86K,-$282.40K,-$2.66M
,,ADA,,,,,,,,,,
,9,,$40.19 ,0.27%,10.78%,9.36%,$128.06M,3.28%,$13.50B,$343.96K,-$341.88K,-$6.57M
,,HYPE,,,,,,,,,,
,10,,$17.35 ,-0.12%,0.81%,-0.63%,$132.29M,-30.26%,$11.79B,-$872.50K,-$1.03M,-$8.33M
,,LINK,,,,,,,,,,
,11,,"$110,015.78 ",0.07%,2.16%,1.70%,$5.99M,-39.15%,$10.12B,$77.24K,$145.32K,$1.07M
,,WBTC,,,,,,,,,,
,12,,$0.31 ,-0.16%,0.52%,-0.74%,$32.90M,-42.42%,$9.97B,$69.86K,-$336.63K,-$1.18M
,,XLM,,,,,,,,,,
,13,,$480 ,-0.06%,1.42%,-4.91%,$121.71M,251.44%,$9.58B,$124.53K,$356.27K,$9.81M
,,BCH,,,,,,,,,,
,14,,$2.42 ,-0.23%,1.62%,-3.91%,$182.85M,-45.78%,$8.78B,$1.36M,$3.30M,$4.37M
,,SUI,,,,,,,,,,
,15,,$8.97 ,0.00%,-0.10%,-0.42%,$1.17K,6.58%,$8.27B,,$377.29 ,-$1.01K
,,LEO,,,,,,,,,,
,16,,$19.03 ,-0.10%,0.05%,-9.55%,$93.25M,-34.54%,$8.15B,$1.04M,$3.20M,$136.93K
,,AVAX,,,,,,,,,,
,17,,$93.99 ,0.12%,1.74%,2.11%,$74.99M,-50.13%,$7.19B,$230.54K,-$42.64K,-$2.81M
,,LTC,,,,,,,,,,
,18,,$0.16 ,-0.19%,-0.89%,-3.75%,$80.41M,0.24%,$7.01B,$115.77K,-$16.78K,-$4.88M
,,HBAR,,,,,,,,,,
,19,,$322.96 ,0.25%,3.72%,8.07%,$4.24M,107.60%,$5.98B,-$8.01K,$5.32K,$364.77K
,,XMR,,,,,,,,,,
,20,,$0.00 ,0.20%,2.33%,0.80%,$25.11M,-25.94%,$5.95B,$70.30K,-$268.31K,-$665.59K
,,SHIB,,,,,,,,,,
,21,,$1.69 ,0.08%,6.23%,-1.62%,$103.24M,-16.19%,$5.48B,-$293.44K,-$690.21K,-$913.43K
,,MNT,,,,,,,,,,
,22,,$2.12 ,-0.38%,0.14%,-3.02%,$17.53M,-43.21%,$5.35B,$88.02K,-$289.21K,-$708.53K
,,TON,,,,,,,,,,
,23,,$0.14 ,0.94%,2.62%,-2.70%,$8.00M,-45.02%,$5.19B,$58.42K,$32.17K,$228.68K
,,CRO,,,,,,,,,,
,24,,$3.00 ,0.37%,2.64%,-0.96%,$37.33M,-40.79%,$4.89B,$90.43K,-$255.45K,-$2.19M
,,DOT,,,,,,,,,,
,25,,$6.30 ,0.22%,4.34%,0.13%,$32.26M,-35.04%,$3.98B,$214.90K,$359.17K,-$2.20M
,,UNI,,,,,,,,,,
