Symbol,Symbol,Min Qty Allowed,Max Qty Allowed,Min Qty StepSize,Min Price Allowed,Max Price Allowed,Min Price StepSize,Min Notional Allowed
1,BTCUSDT,0.001,120,0.001,556.8,4529764,0.1,100
2,ETHUSDT,0.001,2000,0.001,39.86,306177,0.01,20
3,BCHUSDT,0.001,2000,0.001,13.93,100000,0.01,20
4,XRPUSDT,0.1,2000000,0.1,0.0143,100000,0.0001,5
5,LTCUSDT,0.001,5000,0.001,3.61,100000,0.01,20
6,TRXUSDT,1,5000000,1,0.00132,20000,0.00001,5
7,ETCUSDT,0.01,20000,0.01,0.001,100000,0.001,20
8,LINKUSDT,0.01,50000,0.01,0.464,100000,0.001,20
9,XLMUSDT,1,2000000,1,0.00648,20000,0.00001,5
10,ADAUSDT,1,1300000,1,0.0174,20000,0.0001,5
11,XMRUSDT,0.001,1200,0.001,4.36,100000,0.01,5
12,DASHUSDT,0.001,3000,0.001,0.01,100000,0.01,5
13,ZECUSDT,0.001,2000,0.001,2.85,100000,0.01,5
14,XTZUSDT,0.1,200000,0.1,0.001,100000,0.001,5
15,BNBUSDT,0.01,2000,0.01,6.6,100000,0.01,5
16,ATOMUSDT,0.01,100000,0.01,0.001,100000,0.001,5
17,ONTUSDT,0.1,800000,0.1,0.0001,100000,0.0001,5
18,IOTAUSDT,0.1,600000,0.1,0.0001,100000,0.0001,5
19,BATUSDT,0.1,600000,0.1,0.0001,100000,0.0001,5
20,VETUSDT,1,12000000,1,0.000001,2000,0.000001,5
21,NEOUSDT,0.01,20000,0.01,0.001,100000,0.001,5
22,QTUMUSDT,0.1,50000,0.1,0.001,100000,0.001,5
23,IOSTUSDT,1,30000000,1,0.000001,2000,0.000001,5
24,THETAUSDT,0.1,200000,0.1,0.0001,1000,0.0001,5
25,ALGOUSDT,0.1,2000000,0.1,0.0001,1000,0.0001,5
26,ZILUSDT,1,20000000,1,0.00001,100,0.00001,5
27,KNCUSDT,1,200000,1,0.0001,181,0.0001,5
28,ZRXUSDT,0.1,500000,0.1,0.0001,1000,0.0001,5
29,COMPUSDT,0.001,3000,0.001,0.01,100000,0.01,5
30,OMGUSDT,0.1,100000,0.1,0.106,1000,0.0001,5
31,DOGEUSDT,1,30000000,1,0.00244,30,0.00001,5
32,SXPUSDT,0.1,500000,0.1,0.0001,1000,0.0001,5
33,KAVAUSDT,0.1,600000,0.1,0.0001,653,0.0001,5
34,BANDUSDT,0.1,200000,0.1,0.0001,783,0.0001,5
35,RLCUSDT,0.1,60000,0.1,0.0001,432,0.0001,5
36,WAVESUSDT,0.1,16000,0.1,0.342,2249,0.0001,5
37,MKRUSDT,0.001,200,0.001,50,351788,0.1,5
38,SNXUSDT,0.1,100000,0.1,0.001,1144,0.001,5
39,DOTUSDT,0.1,100000,0.1,0.001,2398,0.001,5
40,DEFIUSDT,0.001,80,0.001,33.8,230680,0.1,5
41,YFIUSDT,0.001,20,0.001,667,3836373,1,5
42,BALUSDT,0.1,20000,0.1,0.001,5000,0.001,5
43,CRVUSDT,0.1,300000,0.1,0.001,1000,0.001,5
44,TRBUSDT,0.1,3000,0.1,1.23,5138,0.001,5
45,RUNEUSDT,1,100000,1,0.001,839,0.001,5
46,SUSHIUSDT,1,200000,1,0.0001,1301,0.0001,5
47,EGLDUSDT,0.1,9000,0.1,0.001,14295,0.001,5
48,SOLUSDT,0.01,6000,0.01,0.42,6857,0.01,5
49,ICXUSDT,1,1000000,1,0.0001,400,0.0001,5
50,STORJUSDT,1,300000,1,0.0001,121,0.0001,5
51,BLZUSDT,1,350000,1,0.0036,22,0.00001,5
52,UNIUSDT,1,35000,1,0.001,2684,0.001,5
53,AVAXUSDT,1,30000,1,0.35,2403,0.001,5
54,FTMUSDT,1,250000,1,0.0077,41,0.0001,5
55,ENJUSDT,1,2000000,1,0.00001,153,0.00001,5
56,FLMUSDT,1,4000000,1,0.0001,1000,0.0001,5
57,RENUSDT,1,1000000,1,0.0088,100,0.00001,5
58,KSMUSDT,0.1,8000,0.1,0.001,28450,0.001,5
59,NEARUSDT,1,110000,1,0.048,1000,0.001,5
60,AAVEUSDT,0.1,1250,0.1,4.34,38702,0.01,5
61,FILUSDT,0.1,200000,0.1,0.001,10000,0.001,5
62,RSRUSDT,1,20000000,1,0.000001,10,0.000001,5
63,LRCUSDT,1,2000000,1,0.00001,100,0.00001,5
64,OCEANUSDT,1,100000,1,0.0001,100,0.0001,5
65,BELUSDT,1,250000,1,0.0001,204,0.0001,5
66,AXSUSDT,1,60000,1,0.08,6989,0.001,5
67,ALPHAUSDT,1,4000000,1,0.00001,100,0.00001,5
68,ZENUSDT,0.1,10000,0.1,0.001,10000,0.001,5
69,SKLUSDT,1,6000000,1,0.00001,100,0.00001,5
70,GRTUSDT,1,3000000,1,0.00001,100,0.00001,5
71,1INCHUSDT,1,500000,1,0.0001,100000,0.0001,5
72,CHZUSDT,1,3000000,1,0.00001,100,0.00001,5
73,SANDUSDT,1,500000,1,0.005,20000,0.00001,5
74,ANKRUSDT,1,8000000,1,0.00001,2000,0.00001,5
75,LITUSDT,0.1,150000,0.1,0.077,100000,0.001,5
76,UNFIUSDT,0.1,8000,0.1,0.222,10000,0.001,5
77,REEFUSDT,1,10000000,1,0.000516,2000,0.000001,5
78,RVNUSDT,1,9000000,1,0.00001,20000,0.00001,5
79,SFPUSDT,1,300000,1,0.0001,100000,0.0001,5
80,XEMUSDT,1,2000000,1,0.0035,100000,0.0001,5
81,BTCSTUSDT,0.1,1000,0.1,0.668,100000,0.001,5
82,COTIUSDT,1,2000000,1,0.00001,20000,0.00001,5
