,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM
,index_price,mark_price,best_bid,best_ask,funding_rate
datetime,,,,,
2025-11-16 12:32:02,140.078,140.083,140.0528,140.0538,
2025-11-16 12:32:03,140.053,140.058,140.03,140.031,
2025-11-16 12:32:04,140.042,140.047,140.03,140.031,
2025-11-16 12:32:05,,,140.03,140.031,
2025-11-16 12:32:06,140.041,140.046,140.03,140.031,
2025-11-16 12:32:07,,,140.0155,140.0165,
2025-11-16 12:32:08,140.009,140.014,140.001,140.002,
2025-11-16 12:32:09,140.004,140.009,140.001,140.002,
2025-11-16 12:32:10,140.003,140.008,139.9991,140.00010000000003,
2025-11-16 12:32:11,140.002,140.001,139.9828,139.9838,
2025-11-16 12:32:12,139.996,139.995,139.9522,139.95440000000002,
2025-11-16 12:32:13,139.965,139.963,139.9186,139.9196,
2025-11-16 12:32:14,139.926,139.924,139.92059999999998,139.92159999999998,
2025-11-16 12:32:15,139.923,139.922,139.8992,139.90019999999998,
2025-11-16 12:32:16,139.905,139.91,139.87050000000002,139.8715,
2025-11-16 12:32:17,139.869,139.874,139.9036,139.90460000000002,
2025-11-16 12:32:18,139.914,139.912,139.91850000000002,139.9195,
2025-11-16 12:32:19,139.923,139.921,139.925,139.926,
2025-11-16 12:32:20,139.922,139.925,139.911,139.912,
2025-11-16 12:32:21,,,139.911,139.912,
2025-11-16 12:32:22,,,139.9266,139.9276,
2025-11-16 12:32:23,139.943,139.941,139.928,139.929,
2025-11-16 12:32:24,139.941,139.939,139.928,139.929,
2025-11-16 12:32:25,139.933,139.931,139.9278,139.9288,
2025-11-16 12:32:26,139.936,139.937,139.9176,139.9206,
2025-11-16 12:32:27,139.924,139.929,139.916,139.917,
2025-11-16 12:32:28,139.923,139.928,139.90839999999997,139.9094,
2025-11-16 12:32:29,139.916,139.916,139.91379999999998,139.9148,
2025-11-16 12:32:30,139.917,139.922,139.88770000000002,139.8887,
2025-11-16 12:32:31,139.884,139.887,139.8514,139.8524,
2025-11-16 12:32:32,139.844,139.849,139.84,139.841,
2025-11-16 12:32:33,139.84,139.845,139.8425,139.8435,
2025-11-16 12:32:34,139.846,139.844,139.871,139.872,
2025-11-16 12:32:35,139.87,139.875,139.88,139.881,
2025-11-16 12:32:36,139.873,139.878,139.88,139.881,
2025-11-16 12:32:37,139.883,139.881,139.88,139.881,
2025-11-16 12:32:38,139.884,139.882,139.88,139.881,
2025-11-16 12:32:39,139.883,139.881,139.88,139.881,
2025-11-16 12:32:40,139.882,139.88,139.88,139.881,
2025-11-16 12:32:41,139.883,139.881,139.903,139.904,
2025-11-16 12:32:42,139.897,139.895,139.8852,139.8862,
2025-11-16 12:32:43,139.889,139.887,139.891,139.892,
2025-11-16 12:32:44,139.885,139.883,139.865,139.86599999999999,
2025-11-16 12:32:45,139.862,139.86,139.84,139.841,
2025-11-16 12:32:46,139.844,139.849,139.8514,139.85240000000002,
2025-11-16 12:32:47,139.85,139.848,139.8556,139.85660000000001,
2025-11-16 12:32:48,139.859,139.857,139.8343,139.83530000000002,
2025-11-16 12:32:49,139.844,139.842,139.7861,139.7871,
2025-11-16 12:32:50,139.777,139.775,139.7504,139.75230000000002,
2025-11-16 12:32:51,139.757,139.755,139.716,139.7188,
2025-11-16 12:32:52,139.73,139.728,139.728,139.729,
2025-11-16 12:32:53,139.732,139.73,139.728,139.729,
2025-11-16 12:32:54,139.733,139.731,139.728,139.729,
2025-11-16 12:32:55,139.732,139.73,139.71300000000002,139.714,
2025-11-16 12:32:56,139.721,139.726,139.711,139.712,
2025-11-16 12:32:57,139.72,139.725,139.711,139.712,
